comment_id|post_id|comment_creator
15383|3282|967
56915|7254|921
57386|1661|799
58421|5918|242
81690|4143|619
87926|6403|120
61172|3261|214
64368|5698|619
64782|4230|799
26123|2866|610
40929|8152|113
63069|6314|610
20456|2891|967
78373|5337|962
59784|1814|120
30324|1029|565
70526|7278|962
70956|6487|458
34170|4212|950
71305|1116|217
94327|6463|169
89846|3482|967
48124|5442|706
14545|4773|987
82434|9092|799
93750|7554|113
64276|1666|169
59584|5698|921
92754|4107|967
8676|1761|138
53012|4061|950
90094|9516|242
62570|9505|881
1467|8031|950
82902|8816|169
76652|8950|881
65280|7893|217
24865|1022|786
17619|7143|983
5117|7578|214
81481|1691|987
95927|3482|588
58497|1940|242
58965|2848|921
90624|8262|645
45732|3666|377
38019|1925|169
2708|2004|799
98149|5475|138
27618|3177|588
33451|6857|565
29379|8356|645
12228|1433|992
70193|7083|921
60764|2903|610
27987|4424|974
59491|4219|242
15859|3578|120
37551|4294|706
64275|2617|424
4121|4373|610
52029|5397|120
16793|9141|983
41143|2421|169
66529|2417|565
91763|3704|881
41840|7036|120
29128|8152|705
38917|8633|169
75324|8466|169
45183|2037|921
67772|2799|217
2590|4468|881
30954|2014|706
20082|2155|214
36197|4404|983
11804|2406|987
26622|6752|424
3343|1566|786
43340|4328|921
11810|7601|799
55661|8742|169
16305|5333|705
35626|6276|881
54708|6866|610
15258|1862|974
26062|5345|921
76036|5850|377
78379|8261|565
46071|3003|138
56881|3926|619
36894|5955|138
52199|8698|962
17996|5560|377
98813|5264|992
57095|7920|120
81084|2903|992
57684|5263|645
61936|7082|962
61756|6494|962
5412|7133|610
65659|8816|610
42210|6809|967
30301|1556|705
89321|6378|619
63599|4404|113
62939|2070|454
62667|2617|992
65127|7940|217
13658|3392|565
42422|1276|992
8081|1109|987
49292|1203|935
32850|2583|786
15222|7741|458
78042|1838|169
47298|1862|992
97590|3739|705
10819|8261|588
9155|7001|454
71379|6031|786
79776|2903|987
96860|1396|706
87884|9705|962
42621|8745|565
28613|7734|799
77326|4187|610
85202|4061|242
65784|6857|967
90868|6809|962
60872|1065|169
61498|7843|169
95753|7095|799
38333|2620|377
41890|8212|705
95746|7725|786
64500|4923|169
58797|3013|242
41303|9392|974
1497|4320|217
26686|3561|214
8996|6986|424
30157|1417|610
39460|2468|113
18460|5235|987
56027|5948|992
25902|1794|950
83699|2147|113
25002|9105|138
25500|6460|974
47159|2730|974
88134|5911|967
50215|9881|454
49629|9357|619
15285|5567|962
51335|7084|377
76238|8828|217
84289|4020|138
9292|6362|881
58144|9980|610
33682|7480|705
41569|8312|138
54261|5278|565
55117|2644|974
49081|1417|645
23425|5235|962
76677|7702|424
18626|8515|565
10614|2037|967
80358|7966|169
31100|3089|950
25916|6045|799
4529|7463|217
22970|8100|565
47631|6259|242
23627|8336|610
99214|9185|974
60090|5264|950
83969|4670|138
71355|4035|645
33433|5442|786
48566|2014|242
2856|3308|974
63260|9185|619
81205|5397|169
5518|6994|935
8873|1858|786
8637|8776|983
91607|5438|619
87314|5337|377
45100|9539|881
2438|3969|138
20074|7011|786
59681|2626|217
71270|7734|214
30839|2322|610
88622|4343|610
31847|9179|962
27682|4773|786
27791|5133|962
16521|7267|377
67491|1819|454
85231|9166|786
52740|8212|962
53325|9185|799
8516|7036|935
96139|3134|610
52338|2488|799
79021|7702|987
6812|5750|786
46685|7480|458
14176|7513|120
23759|4670|610
75499|5664|214
99950|2060|424
56818|6983|645
9049|5757|454
65805|5863|169
46375|3396|217
35768|7803|962
6805|4100|987
19982|7265|974
67093|2173|169
42593|3625|565
42543|6906|138
23713|1704|169
31762|9765|786
21919|7966|113
67294|5715|799
20235|9539|217
77943|6986|113
59291|4148|935
52217|8169|138
38055|7143|881
69130|8897|786
3661|3234|705
35789|4783|786
18851|6362|610
30868|6362|169
3006|1662|565
79949|2173|214
2226|2866|588
89596|6784|799
20560|4221|881
41770|8152|967
61342|7782|214
61379|7307|967
57984|7080|799
46234|4100|120
78072|1499|706
12063|3739|962
46030|5619|705
27059|9329|214
18924|2901|962
3232|7143|705
89443|3134|565
92640|3282|962
45262|6487|377
15848|2093|705
18272|2289|610
29335|4404|113
74365|1334|645
25776|5543|619
43701|3264|610
45933|2803|921
59728|7674|962
76720|5438|113
78334|2276|967
90376|8742|786
36052|2201|921
44559|4629|935
73016|3926|138
86539|1780|120
77109|4666|705
98114|6651|588
49067|6460|619
25787|3704|120
4122|3177|786
18850|6494|987
78254|8874|565
59857|8950|565
86081|7084|217
62433|3134|983
81487|6466|242
70825|3631|138
19892|8553|113
69032|3667|706
96506|9539|242
39708|8466|705
17962|3239|935
39776|9575|950
83309|9261|950
67021|6924|705
72860|5475|881
43685|6151|138
86930|5278|935
80314|5214|983
76820|4152|705
16528|1814|962
33490|8312|987
96618|9085|169
79928|7843|113
93310|6704|424
39225|5041|242
89437|4543|962
67722|8816|565
97657|1662|706
46126|6994|113
34651|5337|619
7427|3484|967
34888|9624|113
96577|3670|217
88199|6169|113
42087|5929|377
31657|5109|987
81017|5200|619
53368|2744|967
67195|7847|217
93266|6151|217
35528|9219|962
27278|7561|935
62672|1109|799
96000|4981|987
94283|5214|377
30382|3279|935
70334|9185|610
